act,node_type,nodes,pct_act_nodes,avg_nodes_per_run
1,monster,741,27.1,4.6
1,rest,527,19.2,3.27
1,unknown,483,17.6,3.0
1,elite,376,13.7,2.34
1,ancient,161,5.9,1.0
1,treasure,161,5.9,1.0
1,boss,161,5.9,1.0
1,shop,128,4.7,0.8
2,monster,630,24.4,3.91
2,rest,494,19.1,3.07
2,unknown,445,17.2,2.76
2,elite,374,14.5,2.32
2,treasure,164,6.3,1.02
2,boss,162,6.3,1.01
2,ancient,161,6.2,1.0
2,shop,154,6.0,0.96
3,monster,589,22.9,3.66
3,rest,433,16.8,2.69
3,unknown,429,16.6,2.66
3,boss,322,12.5,2.0
3,elite,283,11.0,1.76
3,shop,199,7.7,1.24
3,ancient,161,6.2,1.0
3,treasure,161,6.2,1.0
